CREATOR,TITLE,PUB_YEAR,CLIENT,DEWEY_CALL_NO
"JOHNSTON, DERRICE",RISE AND FALL OF THE SOFT SHELL CLAM IN THE ANNAPOLIS BASIN: A HISTORY FROM 1960 TO 1991,1991,"ANNAPOLIS BASIN, NOVA SCOTIA - PLANNING",711.3 JOH
"HANNA, DAVID",SACKVILLE RECREATION STUDY,1993,RECREATION AREAS - PLANNING - SACKVILLE,711.3 HAN 199
"PALMER, DAVID W.","SANDY LAKE, BEDFORD LAND USE ANALYSIS",1994,"BEDFORD, NOVA SCOTIA - LAND USE PLANNING",711.3 PAL
"RENOUF, CHAD",SNIDES LAKE WATERSHED STUDY,1997,,711.3 REN
"RILES, KEVIN WILLIAM",SOCIO-ECONOMIC STUDY OF THE BUSINESSES IN ANNAPOLIS COUNTY,1987,"PLANNING - ANNAPOLIS COUNTY, NOVA SCOTIA",711.3 RIL
"BICKFORD, DON","SOLAR SUBDIVISION, A DESIGN STUDY",1985,PLANNING,711.3 BIC
"WHITTERS, JAMES","SOLAR SUBDIVISION: A DESIGN STUDY IN NEW MINAS, KINGS CO. N.S.",1983,"PLANNING - NEW MINAS, NOVA SCOTIA",711.3 WHI
"KENDALL, ANDREW J.D.",SPATIAL ANALYSIS SYSTEM FOR WATER RESOURCE MANAGEMENT,1988,WATER RESOURCES PLANNING - NOVA SCOTIA,711.3 KEN
"HEMMING, HEATHER",SPRINGVALE-FAIRMOUNT NEIGHBOURHOOD STUDY,1981,CITY PLANNING,711.3 HEM
"DENEAU, DAN",ST JOHN'S NEWFOUNDLAND [MAP],2001,,MAP 526.8 DEN 2001
"PYNN, KIMBERLY",STRATEGIC CROSSWALK EVALUATION: CENTRAL BUSINESS DISTRICT HALIFAX,1997,,711.3 PYN
"FORAN, HEATH O'NEILL",STUDY OF POTENTIAL GOLF COURSE SITES FOR THE CITY OF ST. JOHN'S NEWFOUNDLAND,1997,GOLF COURSES - ST. JOHN'S,711.3 FOR 1997
"SCHAFFNER, CINDY",STUDY OF THE ANNAPOLIS RIVER MARSHLAND,1981,"PLANNING - ANNAPOLIS COUNTY, NOVA SCOTIA",711.3 SCH
"MOYES, ROBERT I.",SUBDIVISION DESIGN PROPOSALS,1987,LAND SUBDIVISION - LAWRENCETOWN,711.3 MOY 1987
COMMUNITY PLANNING I - PREPARED BY,SUBMISSION REGARDING CBC LICENSE RENEWAL APPLICATION,1982,"RADIO - PUBLIC ADMINISTRATION - ANNAPOLIS CO., NOVA SCOTIA",711.3 SUB 1982
"MILES, PETER",SURVEY TIME CONSTRAINTS USING GIS FOR THE BROWN SPRUCE LONGHORN BEETLE,2002,,711.3 MIL 2002
"GRAHAM, TARA",SUSTAINABLE HERITAGE PRESERVATION: HALIFAX REGIONAL MUNICIPALITY,2001,,711.3 GRA 2001
"BISHOP, JEAN",TATAMAGOUCHE: AN HISTORICAL PERSPECTIVE ON THE DEVELOPMENT OF TODAY AND TOMORROW,1998,,711.3 BIS
"INGLIS, SHIRLEY",TESTING THE WATERS : A STUDY OF WAYS TO IMPROVE THE WATER QUALITY IN THE ANNAPOLIS RIVER TRIBUTARIES,2000,,711.3 ING 2000
"GILLIS, BRADLEY","THE O'BRIEN'S EXPEDITION FOR ""GREENER PASTURES"" [MAP]",2000,,MAP 574.92 GIL 2000
"DODGE, ANDREA",THE WONDERS OF VERTICAL MAPPER: A MAPINFO FUNCTION [MAP],2001,,MAP 574.92 DOD 2001
"DALY, TIM","TOUR DE FRANCE, JULY 7-29, 2001 [MAP]",2001,,MAP 526.8 DAL 2001
"MORRIER, STEVE",TOURISM INFORMATION MANAGEMENT SYSTEM,1998,,658.4 MOR 1998
"WINCHESTER, GISELLE",TOWARD CLEAN GROUNDWATER PROJECT REPORT,1998,,711.3 WIN
"BOUTILIER, JENNIFER","TOWN OF TRURO, URBAN REGIONAL CORE: ARCVIEW PARKING ANALYSIS",2000,,711.3 BOU 2000
"DALY, TOM","TRACKING THE HISTORY OF DEVELOPMENT POLICY: NOVA SCOTIA, CANADA 1989-1994",1996,COMMUNITY ECONOMIC DEVELOPMENT - NOVA SCOTIA,711.3 DAL 1996
"MACDONALD, KEVIN","TRAIL DESIGN, LAWRENCETOWN WATERSHED LANDS",1992,,711.3 MAC
"CORBETT, PETER",TRANSPORTATION PLANNING: A PUBLIC TRANSIT CASE STUDY; AN ARC/INFO GEOGRAPHIC INFORMATION SYSTEM APPLICATION,1989,TRANSPORTATION - BUSES,711.3 COR
"TEMPLE, TONIA",TREMORS: SAN FRANCISCO BAY AREA [MAP],2001,,MAP 526.8 TEM 2001
"ROBICHAUD, BRIAN",TRUCKING AND ROUTING ANALYSIS,1999,,658.4 ROB 1999
"FOX, SCOTT",UPLANDS PARK PROPOSAL,1987,"PLANNING - DIGBY COUNTY, NOVA SCOTIA",711.3 FOX
"SHUPE, CHRIS",VICTORY AT PEARL HARBOR [MAP],2001,,MAP 526.8 SHU 2001
"PAYNE, DARREN B.",VIEW PLANE ASSESSMENT USING A GIS: ROUTE ANALYSIS OF THE PROPOSED 104 HIGHWAY…,1994,,711.3 PAY
"CARTER, SEAN DAVID",WALK WITH NATURE: BACAP OAKLAND AREA TRAIL,1996,,711.3 CAR
"MAILMAN, LEE","WATERSHED MANAGEMENT STRATEGY: SECOND LAKE REGIONAL PARK, HALIFAX REGIONAL MUNICIPALITY",2001,,711.3 MAI 2001
"BALCH, SHIRLEY","WEBSTER COURT, A DEVELOPMENT PROPOSAL",1986,"PLANNING - KENTVILLE, NOVA SCOTIA",711.3 BAL
"HEBERT, MARK ADAM",WESTERN VALLEY DEVELOPMENT AUTHORITY BUSINESS DIRECTORY INFORMATION SYSTEM: A PILOT PROJECT IN ANNAPOLIS COUNTY,1998,WESTERN VALLEY DEVELOPMENT AUTHORITY (NS),711.3 HEB
"LAFONTAINE, SEAN",WESTERN VALLEY DEVELOPMENT AUTHORITY WIRELESS NETWORK INFRASTRUCTURE AND VIEWSHEDS,2002,WIRELESS COMMUNICATION SYSTEMS,010.785 LAF 2002
"HIGGINS, STEVEN W.",WILMOT STATION: A SEWAGE DISPOSAL STUDY,1983,"PLANNING - WILMOT, NOVA SCOTIA",711.3 HIG
"DODGE, ANDREA","WINDSOR, NOVA SCOTIA: GROWTH OF THE MUDFLAT [MAP]",2001,,MAP 574.92 DOD 2001
"SYMONDS, ED",WOLFVILLE TREE SURVEY: ANALYSING THE BENEFITS OF A COMPUTERIZED…INVENTORY,1997,,711.3 SYM
"HENRY, SHEILAGH E.",WOODLOT MANAGEMENT STUDY: A SURVEY OF NORTH MOUNTAIN WOODLOTS LTD.,1983,"PLANNING - ANNAPOLIS COUNTY, NOVA SCOTIA",711.3 HEN
"DENEAU, DAN",YELLOWSTONE WOLVES [MAP],2001,,MAP 526.8 DEN 2001
